match_id,ID,first name,last name,team_name,minute,yellow card,red card,2nd yellow card,match_period
M-2022-01,P-70879,Saad,Al-Sheeb,Qatar,15',1,0,0,first half
M-2022-01,P-01930,Almoez,Ali,Qatar,22',1,0,0,first half
M-2022-01,P-82216,Moisés,Caicedo,Ecuador,29',1,0,0,first half
M-2022-01,P-95754,Karim,Boudiaf,Qatar,36',1,0,0,first half
M-2022-01,P-56839,Sebas,Méndez,Ecuador,56',1,0,0,second half
M-2022-01,P-47319,Akram,Afif,Qatar,78',1,0,0,second half
M-2022-02,P-98775,Alireza,Jahanbakhsh,Iran,25',1,0,0,first half
M-2022-02,P-29864,Morteza,Pouraliganji,Iran,48',1,0,0,second half
M-2022-03,P-73572,Matthijs,de Ligt,Netherlands,56',1,0,0,second half
M-2022-03,P-96697,Nampalys,Mendy,Senegal,90'+4',1,0,0,"second half, stoppage time"
M-2022-03,P-40621,Idrissa,Gueye,Senegal,90'+6',1,0,0,"second half, stoppage time"
M-2022-04,P-89452,Sergiño,Dest,United States,11',1,0,0,first half
M-2022-04,P-68952,Weston,McKennie,United States,13',1,0,0,first half
M-2022-04,P-63927,Gareth,Bale,Wales,40',1,0,0,first half
M-2022-04,P-74888,Chris,Mepham,Wales,45'+2',1,0,0,"first half, stoppage time"
M-2022-04,P-26367,Tim,Ream,United States,51',1,0,0,second half
M-2022-04,P-86410,Kellyn,Acosta,United States,90'+10',1,0,0,"second half, stoppage time"
M-2022-05,P-20216,Abdulellah,Al-Malki,Saudi Arabia,67',1,0,0,second half
M-2022-05,P-87284,Ali,Al-Bulaihi,Saudi Arabia,75',1,0,0,second half
M-2022-05,P-70583,Salem,Al-Dawsari,Saudi Arabia,79',1,0,0,second half
M-2022-05,P-08125,Saud,Abdulhamid,Saudi Arabia,82',1,0,0,second half
M-2022-05,P-76864,Nawaf,Al-Abed,Saudi Arabia,88',1,0,0,second half
M-2022-05,P-85438,Mohammed,Al-Owais,Saudi Arabia,90'+2',1,0,0,"second half, stoppage time"
M-2022-06,P-82877,Rasmus,Kristensen,Denmark,24',1,0,0,first half
M-2022-06,P-26593,Mathias,Jensen,Denmark,78',1,0,0,second half
M-2022-06,P-21865,Taha Yassine,Khenissi,Tunisia,86',1,0,0,second half
M-2022-07,P-24062,Jorge,Sánchez,Mexico,29',1,0,0,first half
M-2022-07,P-21208,Héctor,Moreno,Mexico,56',1,0,0,second half
M-2022-07,P-23437,Przemyslaw,Frankowski,Poland,76',1,0,0,second half
M-2022-08,P-91029,Mitchell,Duke,Australia,55',1,0,0,second half
M-2022-08,P-34822,Jackson,Irvine,Australia,80',1,0,0,second half
M-2022-08,P-95847,Aaron,Mooy,Australia,90'+5',1,0,0,"second half, stoppage time"
M-2022-09,P-71023,Sofyan,Amrabat,Morocco,78',1,0,0,second half
M-2022-11,P-71100,Francisco,Calvo,Costa Rica,68',1,0,0,second half
M-2022-11,P-70812,Joel,Campbell,Costa Rica,90'+7',1,0,0,"second half, stoppage time"
M-2022-12,P-22930,Thomas,Meunier,Belgium,54',1,0,0,second half
M-2022-12,P-21652,Amadou,Onana,Belgium,56',1,0,0,second half
M-2022-12,P-46358,Alphonso,Davies,Canada,81',1,0,0,second half
M-2022-12,P-12635,Alistair,Johnston,Canada,83',1,0,0,second half
M-2022-12,P-06338,Yannick,Carrasco,Belgium,9',1,0,0,first half
M-2022-13,P-47677,Collins,Fai,Cameroon,36',1,0,0,first half
M-2022-13,P-19193,Nico,Elvedi,Switzerland,64',1,0,0,second half
M-2022-13,P-23925,Manuel,Akanji,Switzerland,83',1,0,0,second half
M-2022-14,P-74058,Martín,Cáceres,Uruguay,57',1,0,0,second half
M-2022-14,P-87169,Cho,Gue-sung,South Korea,88',1,0,0,second half
M-2022-15,P-23821,Mohammed,Kudus,Ghana,45'+1',1,0,0,"first half, stoppage time"
M-2022-15,P-01945,André,Ayew,Ghana,49',1,0,0,second half
M-2022-15,P-36105,Alidu,Seidu,Ghana,57',1,0,0,second half
M-2022-15,P-98929,Danilo,Pereira,Portugal,90'+1',1,0,0,"second half, stoppage time"
M-2022-15,P-53967,Iñaki,Williams,Ghana,90'+1',1,0,0,"second half, stoppage time"
M-2022-15,P-39584,Bruno,Fernandes,Portugal,90'+5',1,0,0,"second half, stoppage time"
M-2022-16,P-24610,Nemanja,Gudelj,Serbia,49',1,0,0,second half
M-2022-16,P-78056,Saša,Lukic,Serbia,64',1,0,0,second half
M-2022-16,P-98435,Strahinja,Pavlovic,Serbia,7',1,0,0,first half
M-2022-17,P-38105,Joe,Rodon,Wales,45'+3',1,0,0,"first half, stoppage time"
M-2022-17,P-46457,Wayne,Hennessey,Wales,86',0,1,0,second half
