ID,first name,last name,team_name
M-383,Lionel,Scaloni,Argentina
M-022,Graham,Arnold,Australia
M-243,Roberto,Martínez,Belgium
M-429,not applicable,Tite,Brazil
M-402,Rigobert,Song,Cameroon
M-163,John,Herdman,Canada
M-413,Luis Fernando,Suárez,Costa Rica
M-090,Zlatko,Dalic,Croatia
M-171,Kasper,Hjulmand,Denmark
M-011,Gustavo,Alfaro,Ecuador
M-405,Gareth,Southgate,England
M-097,Didier,Deschamps,France
M-127,Hansi,Flick,Germany
M-002,Otto,Addo,Ghana
M-339,Carlos,Queiroz,Iran
M-273,Hajime,Moriyasu,Japan
M-244,Gerardo,Martino,Mexico
M-350,Walid,Regragui,Morocco
M-444,Louis,van Gaal,Netherlands
M-261,Czeslaw,Michniewicz,Poland
M-377,Fernando,Santos,Portugal
M-373,Félix,Sánchez,Qatar
M-353,Hervé,Renard,Saudi Arabia
M-081,Aliou,Cissé,Senegal
M-411,Dragan,Stojkovic,Serbia
M-036,Paulo,Bento,South Korea
M-116,Luis,Enrique,Spain
M-471,Murat,Yakin,Switzerland
M-190,Jalel,Kadri,Tunisia
M-039,Gregg,Berhalter,United States
M-012,Diego,Alonso,Uruguay
M-306,Rob,Page,Wales
