match_id,ID,first name,last name,birth_date,shirt number,forward,midfielder,defender,goalkeeper,team_name
M-2022-01,P-82216,Moisés,Caicedo,2001-11-02,23,0,1,0,0,Ecuador
M-2022-01,P-75628,José,Cifuentes,1999-03-12,5,0,1,0,0,Ecuador
M-2022-01,P-44851,Michael,Estrada,1996-04-07,11,1,0,0,0,Ecuador
M-2022-01,P-52697,Pervis,Estupiñán,1998-01-21,7,0,0,1,0,Ecuador
M-2022-01,P-28364,Alan,Franco,1998-08-21,21,0,1,0,0,Ecuador
M-2022-01,P-56347,Hernán,Galíndez,1987-03-30,1,0,0,0,1,Ecuador
M-2022-01,P-29713,Piero,Hincapié,2002-01-09,3,0,0,1,0,Ecuador
M-2022-01,P-34543,Romario,Ibarra,1994-09-24,10,0,1,0,0,Ecuador
M-2022-01,P-56839,Sebas,Méndez,1997-04-26,20,0,1,0,0,Ecuador
M-2022-01,P-13973,Gonzalo,Plata,2000-11-01,19,0,1,0,0,Ecuador
M-2022-01,P-62543,Ángelo,Preciado,1998-02-18,17,0,0,1,0,Ecuador
M-2022-01,P-02839,Kevin,Rodríguez,2000-03-04,26,1,0,0,0,Ecuador
M-2022-01,P-78091,Jeremy,Sarmiento,2002-06-16,16,0,1,0,0,Ecuador
M-2022-01,P-96347,Félix,Torres,1997-01-11,2,0,0,1,0,Ecuador
M-2022-01,P-75912,Enner,Valencia,1989-11-04,13,1,0,0,0,Ecuador
M-2022-01,P-47319,Akram,Afif,1996-11-18,11,1,0,0,0,Qatar
M-2022-01,P-33804,Homam,Ahmed,1999-08-25,14,0,0,1,0,Qatar
M-2022-01,P-38732,Hassan,Al-Haydos,1990-12-11,10,0,1,0,0,Qatar
M-2022-01,P-15161,Bassam,Al-Rawi,1997-12-16,15,0,0,1,0,Qatar
M-2022-01,P-70879,Saad,Al-Sheeb,1990-02-19,1,0,0,0,1,Qatar
M-2022-01,P-01930,Almoez,Ali,1996-08-19,19,1,0,0,0,Qatar
M-2022-01,P-95754,Karim,Boudiaf,1990-09-16,12,0,1,0,0,Qatar
M-2022-01,P-01258,Abdelkarim,Hassan,1993-08-28,3,0,1,0,0,Qatar
M-2022-01,P-97800,Abdulaziz,Hatem,1990-01-01,6,0,1,0,0,Qatar
M-2022-01,P-12810,Boualem,Khoukhi,1990-07-09,16,0,0,1,0,Qatar
M-2022-01,P-17048,Mohammed,Muntari,1993-12-20,9,1,0,0,0,Qatar
M-2022-01,P-00052,not applicable,Ró-Ró,1990-08-06,2,0,0,1,0,Qatar
M-2022-01,P-90689,Mohammed,Waad,1999-09-18,4,0,0,1,0,Qatar
M-2022-02,P-15674,Jude,Bellingham,2003-06-29,22,0,1,0,0,England
M-2022-02,P-31219,Eric,Dier,1994-01-15,15,0,1,1,0,England
M-2022-02,P-10501,Phil,Foden,2000-05-28,20,0,1,0,0,England
M-2022-02,P-21153,Jack,Grealish,1995-09-10,7,1,0,0,0,England
M-2022-02,P-58924,Harry,Kane,1993-07-28,9,1,0,0,0,England
M-2022-02,P-02465,Harry,Maguire,1993-03-05,6,0,0,1,0,England
M-2022-02,P-90012,Mason,Mount,1999-01-10,19,0,1,0,0,England
M-2022-02,P-70618,Jordan,Pickford,1994-03-07,1,0,0,0,1,England
M-2022-02,P-59837,Marcus,Rashford,1997-10-31,11,1,0,0,0,England
M-2022-02,P-84787,Declan,Rice,1999-01-14,4,0,1,0,0,England
M-2022-02,P-76842,Bukayo,Saka,2001-09-05,17,1,0,0,0,England
M-2022-02,P-36400,Luke,Shaw,1995-07-12,3,0,0,1,0,England
M-2022-02,P-21553,Raheem,Sterling,1994-12-08,10,1,1,0,0,England
M-2022-02,P-92628,John,Stones,1994-05-28,5,0,0,1,0,England
M-2022-02,P-25937,Kieran,Trippier,1990-09-19,12,0,0,1,0,England
M-2022-02,P-22844,Callum,Wilson,1992-02-27,24,1,0,0,0,England
M-2022-02,P-09113,Sardar,Azmoun,1995-01-01,20,1,0,0,0,Iran
M-2022-02,P-20998,Alireza,Beiranvand,1992-09-21,1,0,0,0,1,Iran
M-2022-02,P-98747,Rouzbeh,Cheshmi,1993-07-24,15,0,0,1,0,Iran
M-2022-02,P-95374,Saeid,Ezatolahi,1996-10-01,6,0,1,0,0,Iran
M-2022-02,P-45653,Ali,Gholizadeh,1996-03-10,17,0,1,0,0,Iran
M-2022-02,P-75785,Ehsan,Hajsafi,1990-02-25,3,0,1,1,0,Iran
M-2022-02,P-28492,Hossein,Hosseini,1992-06-30,24,0,0,0,1,Iran
M-2022-02,P-15905,Majid,Hosseini,1996-06-20,19,0,0,1,0,Iran
M-2022-02,P-98775,Alireza,Jahanbakhsh,1993-08-11,7,1,1,0,0,Iran
M-2022-02,P-74612,Hossein,Kanaanizadegan,1994-03-23,13,0,0,1,0,Iran
M-2022-02,P-68842,Ali,Karimi,1994-02-11,18,0,1,0,0,Iran
M-2022-02,P-74098,Milad,Mohammadi,1993-09-29,5,0,0,1,0,Iran
M-2022-02,P-84382,Sadegh,Moharrami,1996-03-01,2,0,0,1,0,Iran
M-2022-02,P-42215,Ahmad,Nourollahi,1993-02-01,21,0,1,0,0,Iran
M-2022-02,P-29864,Morteza,Pouraliganji,1992-04-19,8,0,0,1,0,Iran
M-2022-02,P-85860,Mehdi,Taremi,1992-07-18,9,1,0,0,0,Iran
M-2022-02,P-04541,Mehdi,Torabi,1994-09-10,16,0,1,0,0,Iran
M-2022-03,P-64438,Nathan,Aké,1995-02-18,5,0,0,1,0,Netherlands
M-2022-03,P-10326,Steven,Berghuis,1991-12-19,11,0,1,0,0,Netherlands
M-2022-03,P-44799,Steven,Bergwijn,1997-10-08,7,1,0,0,0,Netherlands
M-2022-03,P-39861,Daley,Blind,1990-03-09,17,0,0,1,0,Netherlands
M-2022-03,P-27540,Memphis,Depay,1994-02-13,10,1,0,0,0,Netherlands
M-2022-03,P-97615,Denzel,Dumfries,1996-04-18,22,0,0,1,0,Netherlands
M-2022-03,P-28911,Cody,Gakpo,1999-05-07,8,1,0,0,0,Netherlands
M-2022-03,P-57087,Vincent,Janssen,1994-06-15,18,1,0,0,0,Netherlands
M-2022-03,P-42078,Davy,Klaassen,1993-02-21,14,0,1,0,0,Netherlands
M-2022-03,P-35705,Teun,Koopmeiners,1998-02-28,20,0,1,0,0,Netherlands
M-2022-03,P-82000,Andries,Noppert,1994-04-07,23,0,0,0,1,Netherlands
M-2022-03,P-17688,Frenkie,de Jong,1997-05-12,21,0,1,0,0,Netherlands
M-2022-03,P-73572,Matthijs,de Ligt,1999-08-12,3,0,0,1,0,Netherlands
M-2022-03,P-55965,Marten,de Roon,1991-03-29,15,0,1,0,0,Netherlands
M-2022-03,P-56029,Virgil,van Dijk,1991-07-08,4,0,0,1,0,Netherlands
M-2022-03,P-90626,Pape Abou,Cissé,1995-09-14,4,0,0,1,0,Senegal
M-2022-03,P-33622,Boulaye,Dia,1996-11-16,9,1,0,0,0,Senegal
M-2022-03,P-77769,Abdou,Diallo,1996-05-04,22,0,0,1,0,Senegal
M-2022-03,P-09292,Krépin,Diatta,1999-02-25,15,0,1,0,0,Senegal
M-2022-03,P-88928,Bamba,Dieng,2000-03-23,20,1,0,0,0,Senegal
M-2022-03,P-40621,Idrissa,Gueye,1989-09-26,5,0,1,0,0,Senegal
M-2022-03,P-45280,Pape,Gueye,1999-01-24,26,0,1,0,0,Senegal
M-2022-03,P-86937,Nicolas,Jackson,2001-06-20,7,1,0,0,0,Senegal
M-2022-03,P-54506,Ismail,Jakobs,1999-08-17,14,0,0,1,0,Senegal
M-2022-03,P-47321,Kalidou,Koulibaly,1991-06-20,3,0,0,1,0,Senegal
M-2022-03,P-55140,Cheikhou,Kouyaté,1989-12-21,8,0,1,1,0,Senegal
M-2022-03,P-96697,Nampalys,Mendy,1992-06-23,6,0,1,0,0,Senegal
M-2022-03,P-45399,Édouard,Mendy,1992-03-01,16,0,0,0,1,Senegal
M-2022-03,P-55298,Youssouf,Sabaly,1993-03-05,21,0,0,1,0,Senegal
M-2022-03,P-37935,Ismaïla,Sarr,1998-02-25,18,1,0,0,0,Senegal
M-2022-04,P-03484,Brenden,Aaronson,2000-10-22,11,1,0,0,0,United States
M-2022-04,P-86410,Kellyn,Acosta,1995-07-24,23,0,1,0,0,United States
M-2022-04,P-14151,Tyler,Adams,1999-02-14,4,0,1,0,0,United States
M-2022-04,P-89452,Sergiño,Dest,2000-11-03,2,0,0,1,0,United States
M-2022-04,P-68952,Weston,McKennie,1998-08-28,8,0,1,0,0,United States
M-2022-04,P-77402,Jordan,Morris,1994-10-26,16,1,0,0,0,United States
M-2022-04,P-59571,Yunus,Musah,2002-11-29,6,0,1,0,0,United States
M-2022-04,P-11737,Christian,Pulisic,1998-09-18,10,1,0,0,0,United States
M-2022-04,P-26367,Tim,Ream,1987-10-05,13,0,0,1,0,United States
M-2022-04,P-70867,Antonee,Robinson,1997-08-08,5,0,0,1,0,United States
M-2022-04,P-94647,Josh,Sargent,2000-02-20,24,1,0,0,0,United States
M-2022-04,P-48903,Matt,Turner,1994-06-24,1,0,0,0,1,United States
M-2022-04,P-30252,Timothy,Weah,2000-02-22,21,1,0,0,0,United States
M-2022-04,P-68131,Haji,Wright,1998-03-27,19,1,0,0,0,United States
M-2022-04,P-95273,DeAndre,Yedlin,1993-07-09,22,0,0,1,0,United States
M-2022-04,P-57029,Walker,Zimmerman,1993-05-19,3,0,0,1,0,United States
M-2022-04,P-50398,Ethan,Ampadu,2000-09-14,15,0,0,1,0,Wales
M-2022-04,P-63927,Gareth,Bale,1989-07-16,11,1,0,0,0,Wales
M-2022-04,P-41198,Ben,Davies,1993-04-24,4,0,0,1,0,Wales
M-2022-04,P-46457,Wayne,Hennessey,1987-01-24,1,0,0,0,1,Wales
M-2022-04,P-74707,Daniel,James,1997-11-10,20,1,0,0,0,Wales
M-2022-04,P-57098,Brennan,Johnson,2001-05-23,9,1,0,0,0,Wales
M-2022-04,P-74888,Chris,Mepham,1997-11-05,5,0,0,1,0,Wales
M-2022-04,P-10657,Kieffer,Moore,1992-08-08,13,1,0,0,0,Wales
M-2022-04,P-69082,Joe,Morrell,1997-01-03,16,0,1,0,0,Wales
M-2022-04,P-86951,Aaron,Ramsey,1990-12-26,10,0,1,0,0,Wales
M-2022-04,P-56503,Connor,Roberts,1995-09-23,14,0,0,1,0,Wales
M-2022-04,P-38105,Joe,Rodon,1997-10-22,6,0,0,1,0,Wales
M-2022-04,P-20564,Sorba,Thomas,1999-01-25,22,0,1,0,0,Wales
M-2022-04,P-87190,Neco,Williams,2001-04-13,3,0,0,1,0,Wales
M-2022-04,P-94779,Harry,Wilson,1997-03-22,8,0,1,0,0,Wales
M-2022-05,P-73712,Marcos,Acuña,1991-10-28,8,0,1,1,0,Argentina
M-2022-05,P-37314,Rodrigo,De Paul,1994-05-24,7,0,1,0,0,Argentina
M-2022-05,P-42113,Ángel,Di María,1988-02-14,11,1,1,0,0,Argentina
M-2022-05,P-10739,Enzo,Fernández,2001-01-17,24,0,1,0,0,Argentina
M-2022-05,P-10231,Papu,Gómez,1988-02-15,17,0,1,0,0,Argentina
M-2022-05,P-13162,Emiliano,Martínez,1992-09-02,23,0,0,0,1,Argentina
M-2022-05,P-81505,Lautaro,Martínez,1997-08-22,22,1,0,0,0,Argentina
M-2022-05,P-23070,Lisandro,Martínez,1998-01-18,25,0,0,1,0,Argentina
M-2022-05,P-14758,Lionel,Messi,1987-06-24,10,1,0,0,0,Argentina
M-2022-05,P-84430,Nahuel,Molina,1998-04-06,26,0,0,1,0,Argentina
M-2022-05,P-49114,Nicolás,Otamendi,1988-02-12,19,0,0,1,0,Argentina
M-2022-05,P-27582,Leandro,Paredes,1994-06-29,5,0,1,0,0,Argentina
M-2022-05,P-79650,Cristian,Romero,1998-04-27,13,0,0,1,0,Argentina
M-2022-05,P-35173,Nicolás,Tagliafico,1992-08-31,3,0,0,1,0,Argentina
M-2022-05,P-19776,Julián,Álvarez,2000-01-31,9,1,0,0,0,Argentina
M-2022-05,P-08125,Saud,Abdulhamid,1999-07-18,12,0,0,1,0,Saudi Arabia
