match_id,ID,first name,last name,team_name,minute_label,going_off,coming_on
M-2022-01,P-34543,Romario,Ibarra,Ecuador,68',1,0
M-2022-01,P-78091,Jeremy,Sarmiento,Ecuador,68',0,1
M-2022-01,P-75912,Enner,Valencia,Ecuador,77',1,0
M-2022-01,P-75628,José,Cifuentes,Ecuador,77',0,1
M-2022-01,P-82216,Moisés,Caicedo,Ecuador,90',1,0
M-2022-01,P-44851,Michael,Estrada,Ecuador,90',1,0
M-2022-01,P-28364,Alan,Franco,Ecuador,90',0,1
M-2022-01,P-02839,Kevin,Rodríguez,Ecuador,90',0,1
M-2022-01,P-38732,Hassan,Al-Haydos,Qatar,72',1,0
M-2022-01,P-01930,Almoez,Ali,Qatar,72',1,0
M-2022-01,P-17048,Mohammed,Muntari,Qatar,72',0,1
M-2022-01,P-90689,Mohammed,Waad,Qatar,72',0,1
M-2022-02,P-02465,Harry,Maguire,England,70',1,0
M-2022-02,P-90012,Mason,Mount,England,70',1,0
M-2022-02,P-76842,Bukayo,Saka,England,70',1,0
M-2022-02,P-21553,Raheem,Sterling,England,70',1,0
M-2022-02,P-31219,Eric,Dier,England,70',0,1
M-2022-02,P-10501,Phil,Foden,England,70',0,1
M-2022-02,P-21153,Jack,Grealish,England,70',0,1
M-2022-02,P-59837,Marcus,Rashford,England,70',0,1
M-2022-02,P-58924,Harry,Kane,England,75',1,0
M-2022-02,P-22844,Callum,Wilson,England,75',0,1
M-2022-02,P-20998,Alireza,Beiranvand,Iran,20',1,0
M-2022-02,P-28492,Hossein,Hosseini,Iran,20',0,1
M-2022-02,P-98747,Rouzbeh,Cheshmi,Iran,46',1,0
M-2022-02,P-98775,Alireza,Jahanbakhsh,Iran,46',1,0
M-2022-02,P-68842,Ali,Karimi,Iran,46',1,0
M-2022-02,P-95374,Saeid,Ezatolahi,Iran,46',0,1
M-2022-02,P-45653,Ali,Gholizadeh,Iran,46',0,1
M-2022-02,P-74612,Hossein,Kanaanizadegan,Iran,46',0,1
M-2022-02,P-74098,Milad,Mohammadi,Iran,63',1,0
M-2022-02,P-04541,Mehdi,Torabi,Iran,63',0,1
M-2022-02,P-42215,Ahmad,Nourollahi,Iran,77',1,0
M-2022-02,P-09113,Sardar,Azmoun,Iran,77',0,1
M-2022-03,P-57087,Vincent,Janssen,Netherlands,62',1,0
M-2022-03,P-27540,Memphis,Depay,Netherlands,62',0,1
M-2022-03,P-10326,Steven,Berghuis,Netherlands,79',1,0
M-2022-03,P-44799,Steven,Bergwijn,Netherlands,79',1,0
M-2022-03,P-42078,Davy,Klaassen,Netherlands,79',0,1
M-2022-03,P-35705,Teun,Koopmeiners,Netherlands,79',0,1
M-2022-03,P-28911,Cody,Gakpo,Netherlands,90'+4',1,0
M-2022-03,P-55965,Marten,de Roon,Netherlands,90'+4',0,1
M-2022-03,P-77769,Abdou,Diallo,Senegal,62',1,0
M-2022-03,P-54506,Ismail,Jakobs,Senegal,62',0,1
M-2022-03,P-33622,Boulaye,Dia,Senegal,69',1,0
M-2022-03,P-88928,Bamba,Dieng,Senegal,69',0,1
M-2022-03,P-09292,Krépin,Diatta,Senegal,73',1,0
M-2022-03,P-55140,Cheikhou,Kouyaté,Senegal,73',1,0
M-2022-03,P-45280,Pape,Gueye,Senegal,73',0,1
M-2022-03,P-86937,Nicolas,Jackson,Senegal,73',0,1
M-2022-04,P-68952,Weston,McKennie,United States,66',1,0
M-2022-04,P-03484,Brenden,Aaronson,United States,66',0,1
M-2022-04,P-89452,Sergiño,Dest,United States,74',1,0
M-2022-04,P-59571,Yunus,Musah,United States,74',1,0
M-2022-04,P-94647,Josh,Sargent,United States,74',1,0
M-2022-04,P-86410,Kellyn,Acosta,United States,74',0,1
M-2022-04,P-68131,Haji,Wright,United States,74',0,1
M-2022-04,P-95273,DeAndre,Yedlin,United States,74',0,1
M-2022-04,P-30252,Timothy,Weah,United States,88',1,0
M-2022-04,P-77402,Jordan,Morris,United States,88',0,1
M-2022-04,P-74707,Daniel,James,Wales,46',1,0
M-2022-04,P-10657,Kieffer,Moore,Wales,46',0,1
M-2022-04,P-87190,Neco,Williams,Wales,79',1,0
M-2022-04,P-57098,Brennan,Johnson,Wales,79',0,1
M-2022-04,P-94779,Harry,Wilson,Wales,90'+3',1,0
M-2022-04,P-20564,Sorba,Thomas,Wales,90'+3',0,1
M-2022-04,P-50398,Ethan,Ampadu,Wales,90'+5',1,0
M-2022-04,P-69082,Joe,Morrell,Wales,90'+5',0,1
M-2022-05,P-10231,Papu,Gómez,Argentina,59',1,0
M-2022-05,P-27582,Leandro,Paredes,Argentina,59',1,0
M-2022-05,P-79650,Cristian,Romero,Argentina,59',1,0
