ID,first name,last name,birth_date,shirt number,role,team_name
P-73712,Marcos,Acuña,1991-10-28,8,&midfielder&defender&&,Argentina
P-56659,Thiago,Almada,2001-04-26,16,&midfielder&&&,Argentina
P-92353,Ángel,Correa,1995-03-09,15,forward&&&&,Argentina
P-37314,Rodrigo,De Paul,1994-05-24,7,&midfielder&&&,Argentina
P-42113,Ángel,Di María,1988-02-14,11,forward&midfielder&&&,Argentina
P-28151,Paulo,Dybala,1993-11-15,21,forward&&&&,Argentina
P-10739,Enzo,Fernández,2001-01-17,24,&midfielder&&&,Argentina
P-00652,Juan,Foyth,1998-01-12,2,&&defender&&,Argentina
P-10231,Papu,Gómez,1988-02-15,17,&midfielder&&&,Argentina
P-71343,Alexis,Mac Allister,1998-12-24,20,&midfielder&&&,Argentina
P-13162,Emiliano,Martínez,1992-09-02,23,&&&goalkeeper&,Argentina
P-81505,Lautaro,Martínez,1997-08-22,22,forward&&&&,Argentina
P-23070,Lisandro,Martínez,1998-01-18,25,&&defender&&,Argentina
P-14758,Lionel,Messi,1987-06-24,10,forward&&&&,Argentina
P-84430,Nahuel,Molina,1998-04-06,26,&&defender&&,Argentina
P-91431,Gonzalo,Montiel,1997-01-01,4,&&defender&&,Argentina
P-49114,Nicolás,Otamendi,1988-02-12,19,&&defender&&,Argentina
P-40147,Exequiel,Palacios,1998-10-05,14,&midfielder&&&,Argentina
P-27582,Leandro,Paredes,1994-06-29,5,&midfielder&&&,Argentina
P-29298,Germán,Pezzella,1991-06-27,6,&&defender&&,Argentina
P-03265,Guido,Rodríguez,1994-04-12,18,&midfielder&&&,Argentina
P-79650,Cristian,Romero,1998-04-27,13,&&defender&&,Argentina
P-35173,Nicolás,Tagliafico,1992-08-31,3,&&defender&&,Argentina
P-19776,Julián,Álvarez,2000-01-31,9,forward&&&&,Argentina
P-09062,Nathaniel,Atkinson,1999-06-13,3,&&defender&&,Australia
P-27035,Keanu,Baccus,1998-06-07,26,&midfielder&&&,Australia
P-51118,Aziz,Behich,1990-12-16,16,&&defender&&,Australia
P-67089,Jason,Cummings,1995-08-01,25,forward&&&&,Australia
P-59727,Miloš,Degenek,1994-04-28,2,&&defender&&,Australia
P-91029,Mitchell,Duke,1991-01-18,15,forward&&&&,Australia
P-82010,Craig,Goodwin,1991-12-16,23,forward&&&&,Australia
P-82945,Ajdin,Hrustic,1996-07-05,10,&midfielder&&&,Australia
P-34822,Jackson,Irvine,1993-03-07,22,&midfielder&&&,Australia
P-24134,Fran,Karacic,1996-05-12,5,&&defender&&,Australia
P-05864,Garang,Kuol,2004-09-15,21,forward&&&&,Australia
P-35837,Mathew,Leckie,1991-02-04,7,forward&&&&,Australia
P-61979,Awer,Mabil,1995-09-15,11,forward&&&&,Australia
P-20087,Jamie,Maclaren,1993-07-29,9,forward&&&&,Australia
P-51406,Riley,McGree,1998-11-02,14,&midfielder&&&,Australia
P-95847,Aaron,Mooy,1990-09-15,13,&midfielder&&&,Australia
P-88273,Kye,Rowles,1998-06-24,4,&&defender&&,Australia
P-10244,Mathew,Ryan,1992-04-08,1,&&&goalkeeper&,Australia
P-89217,Harry,Souttar,1998-10-22,19,&&defender&&,Australia
P-97422,Bailey,Wright,1992-07-28,8,&&defender&&,Australia
P-70547,Toby,Alderweireld,1989-03-02,2,&&defender&&,Belgium
P-13975,Michy,Batshuayi,1993-10-02,23,forward&&&&,Belgium
P-06338,Yannick,Carrasco,1993-09-04,11,forward&midfielder&&&,Belgium
P-56069,Timothy,Castagne,1995-12-05,21,&midfielder&&&,Belgium
P-09658,Thibaut,Courtois,1992-05-11,1,&&&goalkeeper&,Belgium
P-48955,Kevin,De Bruyne,1991-06-28,7,&midfielder&&&,Belgium
P-61810,Charles,De Ketelaere,2001-03-10,22,forward&&&&,Belgium
P-73834,Leander,Dendoncker,1995-04-15,19,&&defender&&,Belgium
P-29578,Jérémy,Doku,2002-05-27,25,forward&&&&,Belgium
P-72011,Eden,Hazard,1991-01-07,10,forward&midfielder&&&,Belgium
P-74337,Thorgan,Hazard,1993-03-29,16,&midfielder&&&,Belgium
P-72637,Romelu,Lukaku,1993-05-13,9,forward&&&&,Belgium
P-84852,Dries,Mertens,1987-05-06,14,forward&&&&,Belgium
P-22930,Thomas,Meunier,1991-09-12,15,&midfielder&defender&&,Belgium
P-21652,Amadou,Onana,2001-08-16,18,&midfielder&&&,Belgium
P-70691,Loïs,Openda,2000-02-16,24,forward&&&&,Belgium
P-47906,Youri,Tielemans,1997-05-07,8,&midfielder&&&,Belgium
P-95312,Leandro,Trossard,1994-12-04,17,forward&&&&,Belgium
P-64049,Jan,Vertonghen,1987-04-24,5,&&defender&&,Belgium
