match_id,ID,first name,last name,confederation name
M-2022-01,R-327,Daniele,Orsato,Union of European Football Associations
M-2022-02,R-093,Raphael,Claus,South American Football Confederation
M-2022-03,R-386,Wilton,Sampaio,South American Football Confederation
M-2022-04,R-013,Abdulrahman,Al-Jassim,Asian Football Confederation
M-2022-05,R-468,Slavko,Vincic,Union of European Football Associations
M-2022-06,R-362,César Arturo,Ramos,"Confederation of North, Central American and Caribbean Association Football"
M-2022-07,R-047,Chris,Beath,Asian Football Confederation
M-2022-08,R-173,Victor,Gomes,Confederation of African Football
M-2022-09,R-364,Fernando,Rapallini,South American Football Confederation
M-2022-10,R-044,Iván,Barton,"Confederation of North, Central American and Caribbean Association Football"
M-2022-11,R-188,Mohammed Abdulla,Hassan Mohamed,Asian Football Confederation
M-2022-12,R-405,Janny,Sikazwe,Confederation of African Football
M-2022-13,R-432,Facundo,Tello,South American Football Confederation
M-2022-14,R-441,Clément,Turpin,Union of European Football Associations
M-2022-15,R-136,Ismail,Elfath,"Confederation of North, Central American and Caribbean Association Football"
M-2022-16,R-147,Alireza,Faghani,Asian Football Confederation
M-2022-17,R-144,Mario,Escobar,"Confederation of North, Central American and Caribbean Association Football"
M-2022-18,R-279,Antonio,Mateu Lahoz,Union of European Football Associations
M-2022-19,R-170,Mustapha,Ghorbal,Confederation of African Football
M-2022-20,R-448,Jesús,Valenzuela,South American Football Confederation
M-2022-21,R-404,Daniel,Siebert,Union of European Football Associations
M-2022-22,R-386,Wilton,Sampaio,South American Football Confederation
M-2022-23,R-269,Szymon,Marciniak,Union of European Football Associations
M-2022-24,R-327,Daniele,Orsato,Union of European Football Associations
M-2022-25,R-325,Michael,Oliver,Union of European Football Associations
M-2022-26,R-362,César Arturo,Ramos,"Confederation of North, Central American and Caribbean Association Football"
M-2022-27,R-282,Andrés,Matonte,South American Football Confederation
M-2022-28,R-265,Danny,Makkelie,Union of European Football Associations
M-2022-29,R-188,Mohammed Abdulla,Hassan Mohamed,Asian Football Confederation
M-2022-30,R-428,Anthony,Taylor,Union of European Football Associations
M-2022-31,R-044,Iván,Barton,"Confederation of North, Central American and Caribbean Association Football"
M-2022-32,R-147,Alireza,Faghani,Asian Football Confederation
M-2022-33,R-441,Clément,Turpin,Union of European Football Associations
M-2022-34,R-167,Bakary,Gassama,Confederation of African Football
M-2022-35,R-279,Antonio,Mateu Lahoz,Union of European Football Associations
M-2022-36,R-468,Slavko,Vincic,Union of European Football Associations
M-2022-37,R-170,Mustapha,Ghorbal,Confederation of African Football
M-2022-38,R-099,Matthew,Conger,Oceania Football Confederation
M-2022-39,R-265,Danny,Makkelie,Union of European Football Associations
M-2022-40,R-325,Michael,Oliver,Union of European Football Associations
M-2022-41,R-093,Raphael,Claus,South American Football Confederation
M-2022-42,R-428,Anthony,Taylor,Union of European Football Associations
M-2022-43,R-153,Stéphanie,Frappart,Union of European Football Associations
M-2022-44,R-173,Victor,Gomes,Confederation of African Football
M-2022-45,R-404,Daniel,Siebert,Union of European Football Associations
M-2022-46,R-432,Facundo,Tello,South American Football Confederation
M-2022-47,R-136,Ismail,Elfath,"Confederation of North, Central American and Caribbean Association Football"
M-2022-48,R-364,Fernando,Rapallini,South American Football Confederation
M-2022-49,R-386,Wilton,Sampaio,South American Football Confederation
M-2022-50,R-269,Szymon,Marciniak,Union of European Football Associations
M-2022-51,R-448,Jesús,Valenzuela,South American Football Confederation
M-2022-52,R-044,Iván,Barton,"Confederation of North, Central American and Caribbean Association Football"
M-2022-53,R-136,Ismail,Elfath,"Confederation of North, Central American and Caribbean Association Football"
M-2022-54,R-441,Clément,Turpin,Union of European Football Associations
M-2022-55,R-364,Fernando,Rapallini,South American Football Confederation
M-2022-56,R-362,César Arturo,Ramos,"Confederation of North, Central American and Caribbean Association Football"
M-2022-57,R-325,Michael,Oliver,Union of European Football Associations
M-2022-58,R-279,Antonio,Mateu Lahoz,Union of European Football Associations
M-2022-59,R-432,Facundo,Tello,South American Football Confederation
M-2022-60,R-386,Wilton,Sampaio,South American Football Confederation
M-2022-61,R-327,Daniele,Orsato,Union of European Football Associations
M-2022-62,R-362,César Arturo,Ramos,"Confederation of North, Central American and Caribbean Association Football"
M-2022-63,R-013,Abdulrahman,Al-Jassim,Asian Football Confederation
M-2022-64,R-269,Szymon,Marciniak,Union of European Football Associations
