booking_id,match_id,player_id,minute,yellow card,red card,2nd yellow card,match_period
B-1,M-2022-01,P-70879,15',1,0,0,first half
B-2,M-2022-01,P-01930,22',1,0,0,first half
B-3,M-2022-01,P-82216,29',1,0,0,first half
B-4,M-2022-01,P-95754,36',1,0,0,first half
B-5,M-2022-01,P-56839,56',1,0,0,second half
B-6,M-2022-01,P-47319,78',1,0,0,second half
B-7,M-2022-02,P-98775,25',1,0,0,first half
B-8,M-2022-02,P-29864,48',1,0,0,second half
B-9,M-2022-03,P-73572,56',1,0,0,second half
B-10,M-2022-03,P-96697,90'+4',1,0,0,"second half, stoppage time"
B-11,M-2022-03,P-40621,90'+6',1,0,0,"second half, stoppage time"
B-12,M-2022-04,P-89452,11',1,0,0,first half
B-13,M-2022-04,P-68952,13',1,0,0,first half
B-14,M-2022-04,P-63927,40',1,0,0,first half
B-15,M-2022-04,P-74888,45'+2',1,0,0,"first half, stoppage time"
B-16,M-2022-04,P-26367,51',1,0,0,second half
B-17,M-2022-04,P-86410,90'+10',1,0,0,"second half, stoppage time"
B-18,M-2022-05,P-20216,67',1,0,0,second half
B-19,M-2022-05,P-87284,75',1,0,0,second half
B-20,M-2022-05,P-70583,79',1,0,0,second half
B-21,M-2022-05,P-08125,82',1,0,0,second half
B-22,M-2022-05,P-76864,88',1,0,0,second half
B-23,M-2022-05,P-85438,90'+2',1,0,0,"second half, stoppage time"
B-24,M-2022-06,P-82877,24',1,0,0,first half
B-25,M-2022-06,P-26593,78',1,0,0,second half
B-26,M-2022-06,P-21865,86',1,0,0,second half
B-27,M-2022-07,P-24062,29',1,0,0,first half
B-28,M-2022-07,P-21208,56',1,0,0,second half
B-29,M-2022-07,P-23437,76',1,0,0,second half
B-30,M-2022-08,P-91029,55',1,0,0,second half
B-31,M-2022-08,P-34822,80',1,0,0,second half
B-32,M-2022-08,P-95847,90'+5',1,0,0,"second half, stoppage time"
B-33,M-2022-09,P-71023,78',1,0,0,second half
B-34,M-2022-11,P-71100,68',1,0,0,second half
B-35,M-2022-11,P-70812,90'+7',1,0,0,"second half, stoppage time"
B-36,M-2022-12,P-22930,54',1,0,0,second half
B-37,M-2022-12,P-21652,56',1,0,0,second half
B-38,M-2022-12,P-46358,81',1,0,0,second half
B-39,M-2022-12,P-12635,83',1,0,0,second half
B-40,M-2022-12,P-06338,9',1,0,0,first half
B-41,M-2022-13,P-47677,36',1,0,0,first half
B-42,M-2022-13,P-19193,64',1,0,0,second half
B-43,M-2022-13,P-23925,83',1,0,0,second half
B-44,M-2022-14,P-74058,57',1,0,0,second half
B-45,M-2022-14,P-87169,88',1,0,0,second half
B-46,M-2022-15,P-23821,45'+1',1,0,0,"first half, stoppage time"
