match_id,ID,stadium_id,tournament_id,home_team_id,away_team__id,time,date,stage_name,,,,,,,,,,,,,,,,,,,,,,city,country,capacity,date,time,stage_name,,station name,station_id
M-2022-01,R-327,ST-1,TT-1,T-3,T-1,19:00,11/20/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,11/20/2022,19:00,group stage,,Al Bayt Stadium,ST-1
M-2022-02,R-093,ST-2,TT-1,T-5,T-6,16:00,11/21/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,11/21/2022,16:00,group stage,,Khalifa International Stadium,ST-2
M-2022-03,R-386,ST-3,TT-1,T-4,T-2,19:00,11/21/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/21/2022,19:00,group stage,,Al Thumama Stadium,ST-3
M-2022-04,R-013,ST-4,TT-1,T-7,T-8,22:00,11/21/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/21/2022,22:00,group stage,,Ahmad bin Ali Stadium,ST-4
M-2022-05,R-468,ST-5,TT-1,T-9,T-12,13:00,11/22/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,11/22/2022,13:00,group stage,,Lusail Stadium,ST-5
M-2022-06,R-362,ST-6,TT-1,T-14,T-16,16:00,11/22/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/22/2022,16:00,group stage,,Education City Stadium,ST-6
M-2022-07,R-047,ST-7,TT-1,T-10,T-11,19:00,11/22/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/22/2022,19:00,group stage,,Stadium 974,ST-7
M-2022-08,R-173,ST-8,TT-1,T-15,T-13,22:00,11/22/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Wakrah,Qatar,44000,11/22/2022,22:00,group stage,,Al Janoub Stadium,ST-8
M-2022-09,R-364,ST-1,TT-1,T-24,T-23,13:00,11/23/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,11/23/2022,13:00,group stage,,,
M-2022-10,R-044,ST-2,TT-1,T-18,T-19,16:00,11/23/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,11/23/2022,16:00,group stage,,,
M-2022-11,R-188,ST-3,TT-1,T-20,T-17,19:00,11/23/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/23/2022,19:00,group stage,,,
M-2022-12,R-405,ST-4,TT-1,T-21,T-22,22:00,11/23/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/23/2022,22:00,group stage,,,
M-2022-13,R-432,ST-8,TT-1,T-28,T-26,13:00,11/24/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Wakrah,Qatar,44000,11/24/2022,13:00,group stage,,,
M-2022-14,R-441,ST-6,TT-1,T-32,T-31,16:00,11/24/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/24/2022,16:00,group stage,,,
M-2022-15,R-136,ST-7,TT-1,T-30,T-29,19:00,11/24/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/24/2022,19:00,group stage,,,
M-2022-16,R-147,ST-5,TT-1,T-25,T-27,22:00,11/24/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,11/24/2022,22:00,group stage,,,
M-2022-17,R-144,ST-4,TT-1,T-8,T-6,13:00,11/25/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/25/2022,13:00,group stage,,,
M-2022-18,R-279,ST-3,TT-1,T-3,T-4,16:00,11/25/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/25/2022,16:00,group stage,,,
M-2022-19,R-170,ST-2,TT-1,T-2,T-1,19:00,11/25/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,46000,11/25/2022,19:00,group stage,,,
M-2022-20,R-448,ST-1,TT-1,T-5,T-7,22:00,11/25/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Khor,Qatar,69000,11/25/2022,22:00,group stage,,,
M-2022-21,R-404,ST-8,TT-1,T-16,T-13,13:00,11/26/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Wakrah,Qatar,44000,11/26/2022,13:00,group stage,,,
M-2022-22,R-386,ST-6,TT-1,T-11,T-12,16:00,11/26/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Al Rayyan,Qatar,45000,11/26/2022,16:00,group stage,,,
M-2022-23,R-269,ST-7,TT-1,T-15,T-14,19:00,11/26/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Doha,Qatar,44000,11/26/2022,19:00,group stage,,,
M-2022-24,R-327,ST-5,TT-1,T-9,T-10,22:00,11/26/2022,group stage,,,,,,,,,,,,,,,,,,,,,,Lusail,Qatar,89000,11/26/2022,22:00,group stage,,,
