pa_id,player_id,match_id
PA-1,P-82216,M-2022-01
PA-2,P-75628,M-2022-01
PA-3,P-44851,M-2022-01
PA-4,P-52697,M-2022-01
PA-5,P-28364,M-2022-01
PA-6,P-56347,M-2022-01
PA-7,P-29713,M-2022-01
PA-8,P-34543,M-2022-01
PA-9,P-56839,M-2022-01
PA-10,P-13973,M-2022-01
PA-11,P-62543,M-2022-01
PA-12,P-02839,M-2022-01
PA-13,P-78091,M-2022-01
PA-14,P-96347,M-2022-01
PA-15,P-75912,M-2022-01
PA-16,P-47319,M-2022-01
PA-17,P-33804,M-2022-01
PA-18,P-38732,M-2022-01
PA-19,P-15161,M-2022-01
PA-20,P-70879,M-2022-01
PA-21,P-01930,M-2022-01
PA-22,P-95754,M-2022-01
PA-23,P-01258,M-2022-01
PA-24,P-97800,M-2022-01
PA-25,P-12810,M-2022-01
PA-26,P-17048,M-2022-01
PA-27,P-00052,M-2022-01
PA-28,P-90689,M-2022-01
PA-29,P-15674,M-2022-02
PA-30,P-31219,M-2022-02
PA-31,P-10501,M-2022-02
PA-32,P-21153,M-2022-02
PA-33,P-58924,M-2022-02
PA-34,P-02465,M-2022-02
PA-35,P-90012,M-2022-02
PA-36,P-70618,M-2022-02
PA-37,P-59837,M-2022-02
PA-38,P-84787,M-2022-02
PA-39,P-76842,M-2022-02
PA-40,P-36400,M-2022-02
PA-41,P-21553,M-2022-02
PA-42,P-92628,M-2022-02
PA-43,P-25937,M-2022-02
PA-44,P-22844,M-2022-02
PA-45,P-09113,M-2022-02
PA-46,P-20998,M-2022-02
PA-47,P-98747,M-2022-02
PA-48,P-95374,M-2022-02
PA-49,P-45653,M-2022-02
PA-50,P-75785,M-2022-02
PA-51,P-28492,M-2022-02
PA-52,P-15905,M-2022-02
PA-53,P-98775,M-2022-02
PA-54,P-74612,M-2022-02
PA-55,P-68842,M-2022-02
PA-56,P-74098,M-2022-02
PA-57,P-84382,M-2022-02
PA-58,P-42215,M-2022-02
PA-59,P-29864,M-2022-02
PA-60,P-85860,M-2022-02
PA-61,P-04541,M-2022-02
PA-62,P-64438,M-2022-03
PA-63,P-10326,M-2022-03
PA-64,P-44799,M-2022-03
